Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Fri, Nov 20, 2015",10:30p,Toronto Raptors,102,Los Angeles Lakers,91,,"18,997",
"Fri, Nov 20, 2015",8:00p,Houston Rockets,84,Memphis Grizzlies,96,,"17,555",
"Fri, Nov 20, 2015",8:00p,Detroit Pistons,96,Minnesota Timberwolves,86,,"13,445",
"Fri, Nov 20, 2015",8:00p,San Antonio Spurs,90,New Orleans Pelicans,104,,"16,698",
"Fri, Nov 20, 2015",8:00p,New York Knicks,93,Oklahoma City Thunder,90,,"18,203",
"Fri, Nov 20, 2015",10:00p,Los Angeles Clippers,91,Portland Trail Blazers,102,,"19,393",
"Sat, Nov 21, 2015",7:30p,Atlanta Hawks,97,Cleveland Cavaliers,109,,"20,562",
"Sat, Nov 21, 2015",7:30p,Washington Wizards,97,Detroit Pistons,95,,"15,890",
"Sat, Nov 21, 2015",8:00p,New York Knicks,107,Houston Rockets,102,,"18,226",
"Sat, Nov 21, 2015",7:00p,Milwaukee Bucks,86,Indiana Pacers,123,,"17,137",
"Sat, Nov 21, 2015",8:00p,Philadelphia 76ers,91,Miami Heat,96,,"19,673",
"Sat, Nov 21, 2015",5:00p,Sacramento Kings,97,Orlando Magic,91,,"16,104",
"Sat, Nov 21, 2015",8:30p,Memphis Grizzlies,82,San Antonio Spurs,92,,"18,418",
"Sun, Nov 22, 2015",6:00p,Boston Celtics,101,Brooklyn Nets,111,,"14,866",
"Sun, Nov 22, 2015",8:00p,Golden State Warriors,118,Denver Nuggets,105,,"17,689",
"Sun, Nov 22, 2015",3:30p,Toronto Raptors,91,Los Angeles Clippers,80,,"19,060",
"Sun, Nov 22, 2015",9:30p,Portland Trail Blazers,107,Los Angeles Lakers,93,,"18,997",
"Sun, Nov 22, 2015",6:00p,Phoenix Suns,116,New Orleans Pelicans,122,,"16,680",
"Sun, Nov 22, 2015",7:00p,Dallas Mavericks,114,Oklahoma City Thunder,117,,"18,203",
"Mon, Nov 23, 2015",7:00p,Sacramento Kings,122,Charlotte Hornets,127,OT,"14,163",
"Mon, Nov 23, 2015",7:00p,Orlando Magic,103,Cleveland Cavaliers,117,,"20,562",
"Mon, Nov 23, 2015",7:30p,New York Knicks,78,Miami Heat,95,,"19,777",
"Mon, Nov 23, 2015",8:00p,Detroit Pistons,88,Milwaukee Bucks,109,,"12,319",
"Mon, Nov 23, 2015",8:00p,Philadelphia 76ers,95,Minnesota Timberwolves,100,,"11,382",
"Mon, Nov 23, 2015",8:30p,Phoenix Suns,84,San Antonio Spurs,98,,"18,418",
"Mon, Nov 23, 2015",9:00p,Oklahoma City Thunder,111,Utah Jazz,89,,"19,911",
"Tue, Nov 24, 2015",8:00p,Boston Celtics,97,Atlanta Hawks,121,,"18,968",
